place_name,type,category,description,estimated_cost,opening_hours,accessibility,stress_reduction_benefits,activities,contact,maps_link
Serene Garden Park,park,nature,"A peaceful garden with walking paths and meditation spots",0,"6:00-20:00","Wheelchair accessible, benches available","Reduces anxiety, promotes mindfulness","Walking, meditation, bird watching","555-0101",""
Mindful Yoga Center,yoga_centre,wellness,"Professional yoga and meditation center",200,"7:00-21:00","Wheelchair accessible, mats provided","Improves mental clarity, reduces stress","Yoga classes, meditation sessions","555-0102",""
Tranquil Library,library,education,"Quiet space with extensive book collection",0,"9:00-18:00","Wheelchair accessible, reading rooms","Promotes relaxation, mental stimulation","Reading, studying, quiet time","555-0103",""
Art Therapy Studio,art_gallery,creative,"Interactive art space with guided sessions",150,"10:00-19:00","Wheelchair accessible, materials provided","Expresses emotions, reduces anxiety","Painting, pottery, group art","555-0104",""
Nature Walk Trail,park,nature,"Scenic walking path through natural surroundings",0,"24/7","Wheelchair accessible, rest areas","Connects with nature, physical exercise","Walking, photography, bird watching","555-0105",""
Music Therapy Center,music_venue,wellness,"Live music and sound therapy sessions",300,"11:00-22:00","Wheelchair accessible, seating available","Emotional release, stress reduction","Live music, sound baths","555-0106",""
Community Garden,garden,community,"Shared garden space with gardening activities",50,"8:00-18:00","Wheelchair accessible, tools provided","Connects with nature, social interaction","Gardening, plant care, workshops","555-0107",""
Mindfulness Cafe,cafe,wellness,"Cafe with meditation spaces and healthy food",150,"8:00-20:00","Wheelchair accessible, quiet zones","Relaxation, social connection","Meditation, healthy eating, socializing","555-0108",""
Aquatic Therapy Pool,swimming_pool,wellness,"Heated pool with therapeutic sessions",200,"7:00-21:00","Wheelchair accessible, changing rooms","Physical relaxation, low-impact exercise","Swimming, water therapy","555-0109",""
Creative Writing Space,library,creative,"Dedicated space for writing and expression",100,"10:00-18:00","Wheelchair accessible, writing materials","Emotional expression, mental clarity","Writing workshops, journaling","555-0110",""
Forest Meditation Center,meditation_centre,wellness,"Peaceful forest setting for meditation",150,"6:00-20:00","Wheelchair accessible, meditation cushions","Deep relaxation, stress reduction","Guided meditation, nature walks","555-0111",""
Artisanal Tea House,cafe,wellness,"Traditional tea house with calming atmosphere",120,"9:00-21:00","Wheelchair accessible, quiet spaces","Mindfulness, social connection","Tea ceremonies, relaxation","555-0112",""
Community Center,community_centre,community,"Multi-purpose space for various activities",50,"8:00-22:00","Wheelchair accessible, activity rooms","Social connection, skill development","Group activities, workshops","555-0113",""
Botanical Garden,garden,nature,"Extensive plant collection with guided tours",100,"9:00-17:00","Wheelchair accessible, guided tours","Nature connection, learning","Plant tours, photography","555-0114",""
Sound Healing Studio,music_venue,wellness,"Specialized sound therapy sessions",250,"10:00-20:00","Wheelchair accessible, mats provided","Deep relaxation, stress relief","Sound baths, meditation","555-0115",""
Mindful Movement Center,fitness_centre,wellness,"Gentle exercise and movement classes",180,"7:00-21:00","Wheelchair accessible, equipment provided","Physical wellness, stress reduction","Tai Chi, gentle yoga","555-0116",""
Peaceful Reading Room,library,education,"Dedicated quiet reading space",0,"8:00-20:00","Wheelchair accessible, comfortable seating","Mental relaxation, learning","Reading, studying","555-0117",""
Art Therapy Garden,garden,creative,"Outdoor art and therapy space",80,"9:00-18:00","Wheelchair accessible, art supplies","Creative expression, nature connection","Outdoor art, gardening","555-0118",""
Mindfulness Walkway,park,nature,"Guided walking path with meditation spots",0,"24/7","Wheelchair accessible, rest areas","Mindfulness, exercise","Walking, meditation","555-0119",""
Wellness Cafe,cafe,wellness,"Healthy food and wellness activities",150,"8:00-20:00","Wheelchair accessible, quiet zones","Healthy eating, social connection","Healthy meals, workshops","555-0120",""
Race Course - Zone 2,park,nature,"Beautiful race course with walking tracks and green spaces",1000,"6:00-20:00","Wheelchair accessible, walking paths","Physical exercise, nature connection","Walking, jogging, photography","555-0201","https://maps.app.goo.gl/JnqofCrWNoUGPiCE9"
VOC Park and Zoo,park,nature,"Family-friendly park with zoo and recreational areas",250,"9:00-17:00","Wheelchair accessible, rest areas","Nature connection, family bonding","Animal watching, walking, picnics","555-0202","https://maps.app.goo.gl/FcCDdNw6iTu8Aobo7"
Gass Forest Museum,museum,education,"Educational museum showcasing forest ecosystem",400,"10:00-17:00","Wheelchair accessible, guided tours","Learning, nature appreciation","Museum tours, photography","555-0203","https://maps.app.goo.gl/Mtfogwht4xeJt2iZ9"
Selvachinthamani Kulam,park,nature,"Serene lake with walking paths and seating areas",1000,"6:00-20:00","Wheelchair accessible, benches","Peace and tranquility, nature connection","Walking, meditation, bird watching","555-0204","https://maps.app.goo.gl/KEtHSy4pStzzqg4L9"
Thenkarai Dam,park,nature,"Scenic dam with viewing points and walking trails",500,"6:00-18:00","Wheelchair accessible, viewing platforms","Nature appreciation, peace","Photography, walking, picnics","555-0205","https://maps.app.goo.gl/VobdQkDxMTVCvkqS9"
